time,Roll,Pitch,Yaw,TimeSec
17:46:00.019,240.89,-31.86,,63960.019
17:46:00.139,233.23,-16.4,,63960.139
17:46:00.231,260.88,11.89,1.0,63960.231
17:46:00.320,246.34,-7.45,1.0,63960.32
17:46:00.441,-72.98,16.83,1.0,63960.441
17:46:00.531,4.17,3.66,5.79,63960.531
17:46:00.620,266.81,16.63,0.0,63960.62
17:46:00.739,232.56,14.47,,63960.739
17:46:00.861,265.4,20.24,,63960.861
17:46:00.919,-6.62,12.58,-9.0,63960.919
17:46:01.039,-1.87,0.54,-21.0,63961.039
17:46:01.167,220.93,-27.47,,63961.167
17:46:01.222,227.41,-34.81,,63961.222
17:46:01.342,229.46,-27.29,,63961.342
17:46:01.430,213.96,17.46,,63961.43
17:46:01.553,11.56,13.43,5.0,63961.553
17:46:01.645,-92.44,8.66,8.0,63961.645
17:46:01.765,202.31,-4.8,2.0,63961.765
17:46:01.821,28.02,7.47,-1.0,63961.821
17:46:01.944,-55.19,23.29,,63961.944
17:46:02.031,232.89,12.58,,63962.031
17:46:02.119,-90.34,21.83,,63962.119
17:46:02.244,3.09,9.97,-17.0,63962.244
17:46:02.336,-0.92,-1.29,-2.0,63962.336
17:46:02.455,216.27,-31.95,,63962.455
17:46:02.546,218.03,-33.39,,63962.546
17:46:02.630,223.85,-28.14,,63962.63
17:46:02.755,213.47,12.35,3.0,63962.755
17:46:02.839,22.72,-18.66,8.0,63962.839
17:46:02.936,-40.3,-8.43,1.0,63962.936
17:46:03.050,232.84,-6.44,1.0,63963.05
17:46:03.202,-65.34,16.46,4.0,63963.202
17:46:03.261,-70.92,20.07,1.0,63963.261
17:46:03.355,227.05,13.47,,63963.355
17:46:03.470,257.15,20.31,,63963.47
17:46:03.590,1.89,13.86,-10.0,63963.59
17:46:03.652,8.81,9.26,-18.0,63963.652
17:46:03.769,222.32,-30.56,,63963.769
17:46:03.860,219.58,-30.07,,63963.86
17:46:03.981,228.62,-20.83,,63963.981
17:46:04.068,220.02,13.43,,63964.068
17:46:04.162,22.53,-17.64,,63964.162
17:46:04.280,-22.79,-9.45,,63964.28
17:46:04.370,54.45,10.06,-4.0,63964.37
17:46:04.495,1.35,9.3,-9.6,63964.495
17:46:04.549,233.76,19.37,,63964.549
17:46:04.672,235.14,15.29,,63964.672
17:46:04.759,232.34,19.34,,63964.759
17:46:04.914,1.29,8.16,-24.0,63964.914
17:46:05.004,61.72,18.11,-3.0,63965.004
17:46:05.060,217.93,-26.32,,63965.06
17:46:05.150,217.56,-33.61,,63965.15
17:46:05.304,229.4,-21.68,,63965.304
17:46:05.393,-44.6,17.29,,63965.393
17:46:05.509,218.71,23.33,,63965.509
17:46:05.600,236.67,2.53,4.0,63965.6
17:46:05.696,202.64,3.73,-3.0,63965.696
17:46:05.786,-58.04,20.43,,63965.786
17:46:05.875,-10.18,24.95,,63965.875
17:46:05.962,254.56,21.49,,63965.962
17:46:06.116,-57.31,22.51,,63966.116
17:46:06.173,-23.07,16.85,,63966.173
17:46:06.290,38.28,12.17,-2.0,63966.29
17:46:06.385,221.45,-33.28,,63966.385
17:46:06.595,220.44,-31.24,,63966.595
17:46:06.681,198.66,17.47,,63966.681
17:46:06.805,-83.53,0.04,-2.0,63966.805
17:46:06.920,253.24,-11.69,,63966.92
17:46:07.010,186.49,12.61,,63967.01
17:46:07.099,247.07,20.96,,63967.099
17:46:07.219,-84.71,24.11,,63967.219
17:46:07.312,246.57,15.06,,63967.312
17:46:07.429,14.22,22.76,-1.0,63967.429
17:46:07.521,224.31,13.05,,63967.521
17:46:07.613,-10.59,6.51,-2.0,63967.613
17:46:07.700,195.14,-22.25,,63967.7
17:46:07.820,209.63,-33.46,,63967.82
17:46:07.910,221.48,-36.31,,63967.91
17:46:08.002,223.68,-24.8,,63968.002
17:46:08.090,-86.71,13.97,1.0,63968.09
17:46:08.210,-76.85,5.92,14.0,63968.21
17:46:08.332,215.18,-16.08,,63968.332
17:46:08.422,-0.39,9.16,4.4,63968.422
17:46:08.545,-86.28,19.44,4.0,63968.545
17:46:08.635,-60.27,19.86,,63968.635
17:46:08.724,34.95,7.58,-2.0,63968.724
17:46:08.809,52.42,20.66,-8.0,63968.809
17:46:08.903,-23.8,7.5,-1.0,63968.903
17:46:09.055,223.24,-32.99,,63969.055
17:46:09.113,217.57,-34.37,,63969.113
17:46:09.232,220.59,-28.15,,63969.232
17:46:09.324,213.04,-6.18,8.0,63969.324
17:46:09.412,15.32,-30.28,2.0,63969.412
17:46:09.535,224.78,-10.74,,63969.535
17:46:09.656,195.9,2.03,18.0,63969.656
17:46:09.803,261.16,18.49,1.0,63969.803
17:46:09.890,-70.72,20.02,1.0,63969.89
17:46:09.950,33.37,13.32,6.0,63969.95
17:46:10.038,17.21,14.41,4.0,63970.038
17:46:10.128,-23.06,7.03,-3.0,63970.128
17:46:10.223,195.01,-7.73,,63970.223
17:46:10.338,222.46,-43.32,,63970.338
17:46:10.458,232.09,-35.37,,63970.458
17:46:10.548,221.16,4.2,11.0,63970.548
17:46:10.668,22.96,-29.72,3.0,63970.668
17:46:10.730,-2.93,10.07,31.0,63970.73
17:46:10.849,203.84,-12.79,,63970.849
17:46:10.971,237.04,12.17,1.0,63970.971
17:46:11.058,-72.47,21.35,1.0,63971.058
17:46:11.148,231.83,17.51,1.0,63971.148
17:46:11.240,-69.9,15.41,1.0,63971.24
17:46:11.388,246.41,10.31,1.0,63971.388
17:46:11.448,228.62,-14.02,,63971.448
17:46:11.628,237.55,-18.3,,63971.628
17:46:11.629,-91.38,-18.47,,63971.629
17:46:11.778,230.15,-19.69,,63971.778
17:46:11.838,219.8,-27.69,,63971.838
17:46:11.993,214.04,6.94,9.0,63971.993
17:46:12.048,-66.14,-6.98,1.0,63972.048
17:46:12.170,158.39,18.76,1.0,63972.17
17:46:12.229,-69.69,22.89,2.0,63972.229
17:46:12.349,-74.69,20.53,2.0,63972.349
17:46:12.442,12.62,23.32,28.0,63972.442
17:46:12.594,-59.74,22.62,3.0,63972.594
17:46:12.684,258.33,20.57,3.0,63972.684
17:46:12.774,-58.56,20.2,3.0,63972.774
17:46:12.890,-21.38,14.45,4.0,63972.89
17:46:12.985,-19.12,6.14,48.0,63972.985
17:46:13.038,-24.42,4.29,54.0,63973.038
17:46:13.189,220.07,15.67,5.0,63973.189
17:46:13.284,-46.15,-7.37,4.0,63973.284
17:46:13.400,-46.75,-4.61,3.0,63973.4
17:46:13.489,-52.13,5.45,40.0,63973.489
17:46:13.579,-75.99,3.16,45.0,63973.579
17:46:13.698,-60.62,10.68,4.0,63973.698
17:46:13.760,-53.04,3.65,47.0,63973.76
17:46:13.854,-40.09,7.89,49.0,63973.854
17:46:13.969,-35.97,8.95,47.0,63973.969
17:46:14.090,-45.33,9.15,50.0,63974.09
17:46:14.152,-38.48,9.92,45.0,63974.152
17:46:14.268,-44.17,10.47,4.0,63974.268
17:46:14.363,-40.06,9.4,43.0,63974.363
17:46:14.480,-46.0,9.21,48.0,63974.48
17:46:14.598,-40.57,9.68,42.0,63974.598
17:46:14.689,-43.46,9.17,47.0,63974.689
17:46:14.809,-45.2,9.83,50.0,63974.809
17:46:14.900,-41.61,12.34,4.0,63974.9
17:46:14.991,-45.25,8.99,47.0,63974.991
17:46:15.116,-50.49,9.46,51.0,63975.116
17:46:15.170,-46.33,9.09,47.0,63975.17
17:46:15.292,-39.82,8.67,45.0,63975.292
17:46:15.410,-48.12,10.29,4.0,63975.41
17:46:15.502,-43.91,10.6,4.0,63975.502
17:46:15.619,-32.8,9.17,48.0,63975.619
17:46:15.711,-37.14,10.22,4.0,63975.711
17:46:15.769,-35.48,9.84,43.0,63975.769
17:46:15.924,-43.14,9.59,43.0,63975.924
17:46:16.014,-40.04,9.81,45.0,63976.014
17:46:16.136,-40.99,7.81,39.0,63976.136
17:46:16.225,-49.16,11.17,4.0,63976.225
17:46:16.316,-92.31,9.22,43.0,63976.316
17:46:16.404,-86.55,4.55,39.0,63976.404
17:46:16.525,-56.98,9.62,24.0,63976.525
17:46:16.639,-82.8,8.1,28.0,63976.639
17:46:16.701,-90.31,12.37,2.0,63976.701
17:46:16.792,-74.31,16.85,3.0,63976.792
17:46:16.913,-72.33,2.71,27.0,63976.913
17:46:17.003,-46.5,19.03,2.0,63977.003
17:46:17.097,-37.35,17.19,2.0,63977.097
17:46:17.240,-35.11,20.75,2.0,63977.24
17:46:17.306,230.62,20.8,2.0,63977.306
17:46:17.419,245.09,19.03,1.0,63977.419
17:46:17.514,230.6,18.6,1.0,63977.514
17:46:17.605,237.68,15.5,1.0,63977.605
17:46:17.695,232.09,16.96,1.0,63977.695
17:46:17.815,-89.01,17.34,2.0,63977.815
17:46:17.900,224.01,10.57,2.0,63977.9
17:46:18.019,32.76,-1.77,26.0,63978.019
17:46:18.109,-78.32,22.5,2.0,63978.109
17:46:18.230,-91.12,17.85,3.0,63978.23
17:46:18.319,-18.97,18.3,2.0,63978.319
17:46:18.442,-51.96,17.84,3.0,63978.442
17:46:18.532,-32.52,16.03,3.0,63978.532
17:46:18.619,-37.93,15.99,3.0,63978.619
17:46:18.740,-39.39,15.3,3.0,63978.74
17:46:18.831,-37.49,15.25,3.0,63978.831
17:46:18.951,-43.67,15.53,3.0,63978.951
17:46:19.041,-42.58,15.44,3.0,63979.041
17:46:19.159,-43.55,15.4,3.0,63979.159
17:46:19.223,-42.7,15.32,3.0,63979.223
17:46:19.373,-40.68,14.86,3.0,63979.373
17:46:19.465,-33.14,14.66,3.0,63979.465
17:46:19.554,-37.57,15.85,3.0,63979.554
17:46:19.675,-54.17,16.04,3.0,63979.675
17:46:19.765,-53.7,17.89,2.0,63979.765
17:46:19.855,-78.51,18.45,2.0,63979.855
17:46:19.976,248.5,15.01,1.0,63979.976
17:46:20.062,255.96,15.16,1.0,63980.062
17:46:20.155,225.84,17.57,1.0,63980.155
17:46:20.246,231.45,16.19,1.0,63980.246
17:46:20.366,226.47,5.97,10.0,63980.366
17:46:20.457,228.65,10.45,1.0,63980.457
17:46:20.544,224.57,12.92,1.0,63980.544
17:46:20.665,236.78,14.46,1.0,63980.665
17:46:20.754,248.19,18.43,1.0,63980.754
17:46:20.874,-69.3,9.07,6.0,63980.874
17:46:20.959,207.05,3.44,3.0,63980.959
17:46:21.049,223.27,-20.12,,63981.049
17:46:21.170,252.86,-2.09,,63981.17
17:46:21.259,238.98,-2.84,,63981.259
17:46:21.379,253.44,6.77,14.0,63981.379
17:46:21.442,196.17,10.71,1.0,63981.442
17:46:21.559,204.88,-56.73,,63981.559
17:46:21.655,194.94,-15.98,,63981.655
17:46:21.770,208.39,9.37,5.0,63981.77
